positionName,companyName,companySize,industryName,city,salary,experience,education
资深美妆电商设计师,上海漫吟贸易有限公司,20-99人,电子商务,上海,10k - 15k,3-5年,大专
室内设计,新加坡恺天装饰设计,20-99人,工程施工,北京,8k - 16k,3-5年,大专
GS游戏引导员,龙游游戏,100-499人,游戏,上海,4k - 6k,1年以内,本科
电商运营,麦扑艺术,20-99人,家具/家电/家居,上海,8k - 10k,3-5年,本科
电商美妆美工设计师,上海漫吟贸易有限公司,20-99人,电子商务,上海,8k - 12k,1-3年,大专
英语客服（英语翻译）,万润诚达,20-99人,电子商务,北京,7k - 9k,经验不限,本科
英文客服（锻炼英文技能，高发展空,万润诚达,20-99人,电子商务,北京,6k - 8k,经验不限,本科
跨境英语售后,万润诚达,20-99人,电子商务,北京,7k - 8k,1-3年,大专
电话客服,摩天之星企业管理,1000-9999人,企业服务,上海,5k - 10k,1年以内,本科
主材设计师,新加坡恺天装饰设计,20-99人,工程施工,北京,4k - 8k,1-3年,大专
技术支持工程师,达哲信息,20-99人,生活服务,上海,6k - 8k,经验不限,大专
平面设计师（产品方向）,北京此时此地文创,20-99人,新闻/出版,北京,7k - 12k,1-3年,本科
游戏制作人,疯狂游戏,100-499人,游戏,北京,40k - 70k,5-10年,本科
面销,北京世纪之约信息咨询,100-499人,生活服务,北京,5k - 8k,1年以内,高中
亚马逊销售运营,隽繁机械,0-20人,电子商务,上海,10k - 15k,1-3年,本科
产品设计师（体育服饰产品类）,邹轩体育,100-499人,文化/体育/娱乐,上海,7k - 12k,3-5年,大专
软件销售,同创蓝天,100-499人,电子商务,北京,10k - 15k,经验不限,学历不限
售前,同创蓝天,100-499人,电子商务,北京,8k - 12k,经验不限,学历不限
福利待遇高五险一金+奔驰车,珍岛集团,1000-9999人,互联网,上海,16k - 23k,经验不限,大专
记者,松树资本,0-20人,互联网金融,北京,8k - 10k,1-3年,大专
资深文案,饮食伙计,0-20人,医疗健康,上海,8k - 12k,1-3年,本科
创意思维细节控前端工程师,DigitalCreative,0-20人,其他专业服务,上海,15k - 25k,3-5年,学历不限
后端-高级研发工程师/技术专家,快手,1000-9999人,互联网,北京,30k - 35k,经验不限,本科
电话客服,信善餐饮,1000-9999人,餐饮,上海,6k - 11k,经验不限,学历不限
商家运营助理（销售运营岗）,运动有我,0-20人,互联网,北京,8k - 12k,1-3年,大专
Creative前端开发,DigitalCreative,0-20人,其他专业服务,上海,15k - 20k,1-3年,学历不限
淘宝客服,上海锦怡贸易有限公司,20-99人,家具/家电/家居,上海,5k - 10k,经验不限,大专
电气工程师,北京清蓝环保,20-99人,机械设备/机电/重工,北京,8k - 13k,3-5年,本科
