positionName,companyFullName,companySize,industryField,financeStage,firstType,secondType,thirdType,positionLables,createTime,city,district,businessZones,salary,workYear,jobNature,education,positionAdvantage
电话客服,北京中味国际展览有限公司,少于15人,其他,不需要融资,运营|编辑|客服类,客服,电话客服,"['客服', '销售']",2020-09-04 08:25:28,北京,海淀区,,2k-4k,不限,兼职,不限,周末双休
销售助理,陕西千秋电子科技股份有限公司,150-500人,"电商,医疗丨健康",未融资,销售类,销售,销售专员|助理,"['医疗健康', '销售', '客户代表', 'BD', '区域销售']",2020-09-04 08:25:27,合肥,蜀山区,['桃花'],5k-10k,不限,全职,不限,包住宿 五险 无责底薪4000
设计师,工匠广告传播（上海）有限公司,50-150人,"移动互联网,广告营销",不需要融资,设计类,视觉,广告设计,['广告'],2020-09-04 08:25:15,上海,长宁区,"['天山路', '遵义路', '虹桥']",10k-20k,1-3年,全职,本科,"专业培训,五险一金,朝十晚七"
销售经理（AI交互产品）,深思考人工智能机器人科技（北京）有限公司,50-150人,"移动互联网,企业服务",A轮,销售类,销售,大客户代表,"['其他', '大客户销售']",2020-09-04 08:24:55,北京,海淀区,['上地'],10k-20k,3-5年,全职,本科,弹性工时、核心岗位、AI
招聘专员,湖北浮泽数据科技有限公司,50-150人,"数据服务,软件开发",未融资,综合职能|高级管理,人力资源,招聘,"['HR', '人事', '招聘']",2020-09-04 08:24:50,杭州,余杭区,,4k-8k,不限,全职,大专,五险一金，周末双休，晋升空间大
大数据开发工程师（DBA/数仓建设）,深圳市君仁科技发展有限公司,50-150人,移动互联网,未融资,开发|测试|运维类,数据开发,数据开发,"['数仓工程师', 'MySQL', 'MongoDB', 'DBA']",2020-09-04 08:24:24,深圳,南山区,"['科技园', '大冲']",18k-22k,1-3年,全职,本科,只要你有梦想，我们就给你一个飞舞的平台。
高级java开发工程师,尼尔林技术咨询（深圳）有限公司,150-500人,"移动互联网,电商",不需要融资,开发|测试|运维类,后端开发,Java,"['移动互联网', '硬件制造', 'Java']",2020-09-04 08:24:04,深圳,,,20k-35k,5-10年,全职,本科,知名企业 高薪招聘 待遇丰厚 年底双薪
管培生,泰康人寿保险有限责任公司山东分公司,2000人以上,金融,不需要融资,销售类,其他销售职位,其他销售职位,"['电商', '金融']",2020-09-04 08:23:49,济南,历下区,"['泉城路', '趵突泉', '长途汽车站']",4k-8k,不限,全职,大专,福利待遇好，绩效薪资多，晋升快
开发,上海扩博智能技术有限公司,50-150人,"移动互联网,数据服务",B轮,开发|测试|运维类,后端开发,后端开发,"['Python', '后端', '服务器端', '机器学习']",2020-09-04 08:23:34,上海,闵行区,,15k-25k,1-3年,全职,本科,核心部门，大牛带队
自动化测试工程师,北京聚量广告传媒有限公司,50-150人,"移动互联网,广告营销",不需要融资,开发|测试|运维类,测试,自动化测试,"['广告营销', '功能测试', '接口测试', 'SDK测试', '自动化测试']",2020-09-04 08:23:29,北京,朝阳区,"['大望路', '建外大街', '红庙']",20k-30k,3-5年,全职,本科,五险一金
高级产品经理,深圳市润安科技发展有限公司,150-500人,"移动互联网,其他",未融资,产品|需求|项目类,产品经理,产品经理,"['原型设计', '需求分析', '产品策划']",2020-09-04 08:23:29,深圳,南山区,,15k-25k,5-10年,全职,本科,产品前景好、领导nice、行业发展好
测试工程师,广州富力地产股份有限公司,2000人以上,"移动互联网,电商",上市公司,开发|测试|运维类,测试,测试工程师,"['功能测试', '接口测试', '性能测试', '自动化测试']",2020-09-04 08:23:22,广州,天河区,"['珠江新城', '沙河']",15k-30k,3-5年,全职,本科,"集团资源多,包三自助餐,五险一金高"
房产销售,广州信华房地产代理有限公司,150-500人,房产家居,未融资,销售类,销售,销售顾问,"['销售', '电话销售', '地推', '渠道分销']",2020-09-04 08:23:20,广州,黄埔区,['南岗'],8k-12k,不限,全职,不限,想搞钱的你就来
中级前端开发工程师,广州华资软件技术有限公司,500-2000人,"移动互联网,数据服务",上市公司,开发|测试|运维类,前端开发,WEB前端,"['企业服务', '工具软件', 'Vue', 'Web前端', '前端开发', 'ES6']",2020-09-04 08:22:48,广州,天河区,"['棠下', '天河公园', '天园']",9k-15k,3-5年,全职,本科,六险一金，大团队，福利好，14薪+
团队运营主管,中美联泰大都会人寿保险有限公司四川分公司,2000人以上,金融,上市公司,运营|编辑|客服类,运营,运营,"['教育', '广告营销', '运营', 'SEM', '网络推广', '销售培训']",2020-09-04 08:22:47,北京,朝阳区,,20k-40k,3-5年,全职,本科,公司福利好
电话客服,北京中味国际展览有限公司,少于15人,其他,不需要融资,运营|编辑|客服类,客服,电话客服,"['客服', '销售']",2020-09-04 08:25:28,北京,海淀区,,2k-4k,不限,兼职,不限,周末双休
销售助理,陕西千秋电子科技股份有限公司,150-500人,"电商,医疗丨健康",未融资,销售类,销售,销售专员|助理,"['医疗健康', '销售', '客户代表', 'BD', '区域销售']",2020-09-04 08:25:27,合肥,蜀山区,['桃花'],5k-10k,不限,全职,不限,包住宿 五险 无责底薪4000
设计师,工匠广告传播（上海）有限公司,50-150人,"移动互联网,广告营销",不需要融资,设计类,视觉,广告设计,['广告'],2020-09-04 08:25:15,上海,长宁区,"['天山路', '遵义路', '虹桥']",10k-20k,1-3年,全职,本科,"专业培训,五险一金,朝十晚七"
销售经理（AI交互产品）,深思考人工智能机器人科技（北京）有限公司,50-150人,"移动互联网,企业服务",A轮,销售类,销售,大客户代表,"['其他', '大客户销售']",2020-09-04 08:24:55,北京,海淀区,['上地'],10k-20k,3-5年,全职,本科,弹性工时、核心岗位、AI
招聘专员,湖北浮泽数据科技有限公司,50-150人,"数据服务,软件开发",未融资,综合职能|高级管理,人力资源,招聘,"['HR', '人事', '招聘']",2020-09-04 08:24:50,杭州,余杭区,,4k-8k,不限,全职,大专,五险一金，周末双休，晋升空间大
高级java开发工程师,尼尔林技术咨询（深圳）有限公司,150-500人,"移动互联网,电商",不需要融资,开发|测试|运维类,后端开发,Java,"['移动互联网', '硬件制造', 'Java']",2020-09-04 08:24:04,深圳,,,20k-35k,5-10年,全职,本科,知名企业 高薪招聘 待遇丰厚 年底双薪
管培生,泰康人寿保险有限责任公司山东分公司,2000人以上,金融,不需要融资,销售类,其他销售职位,其他销售职位,"['电商', '金融']",2020-09-04 08:23:49,济南,历下区,"['泉城路', '趵突泉', '长途汽车站']",4k-8k,不限,全职,大专,福利待遇好，绩效薪资多，晋升快
开发,上海扩博智能技术有限公司,50-150人,"移动互联网,数据服务",B轮,开发|测试|运维类,后端开发,后端开发,"['Python', '后端', '服务器端', '机器学习']",2020-09-04 08:23:34,上海,闵行区,,15k-25k,1-3年,全职,本科,核心部门，大牛带队
自动化测试工程师,北京聚量广告传媒有限公司,50-150人,"移动互联网,广告营销",不需要融资,开发|测试|运维类,测试,自动化测试,"['广告营销', '功能测试', '接口测试', 'SDK测试', '自动化测试']",2020-09-04 08:23:29,北京,朝阳区,"['大望路', '建外大街', '红庙']",20k-30k,3-5年,全职,本科,五险一金
高级产品经理,深圳市润安科技发展有限公司,150-500人,"移动互联网,其他",未融资,产品|需求|项目类,产品经理,产品经理,"['原型设计', '需求分析', '产品策划']",2020-09-04 08:23:29,深圳,南山区,,15k-25k,5-10年,全职,本科,产品前景好、领导nice、行业发展好
测试工程师,广州富力地产股份有限公司,2000人以上,"移动互联网,电商",上市公司,开发|测试|运维类,测试,测试工程师,"['功能测试', '接口测试', '性能测试', '自动化测试']",2020-09-04 08:23:22,广州,天河区,"['珠江新城', '沙河']",15k-30k,3-5年,全职,本科,"集团资源多,包三自助餐,五险一金高"
房产销售,广州信华房地产代理有限公司,150-500人,房产家居,未融资,销售类,销售,销售顾问,"['销售', '电话销售', '地推', '渠道分销']",2020-09-04 08:23:20,广州,黄埔区,['南岗'],8k-12k,不限,全职,不限,想搞钱的你就来
中级前端开发工程师,广州华资软件技术有限公司,500-2000人,"移动互联网,数据服务",上市公司,开发|测试|运维类,前端开发,WEB前端,"['企业服务', '工具软件', 'Vue', 'Web前端', '前端开发', 'ES6']",2020-09-04 08:22:48,广州,天河区,"['棠下', '天河公园', '天园']",9k-15k,3-5年,全职,本科,六险一金，大团队，福利好，14薪+
团队运营主管,中美联泰大都会人寿保险有限公司四川分公司,2000人以上,金融,上市公司,运营|编辑|客服类,运营,运营,"['教育', '广告营销', '运营', 'SEM', '网络推广', '销售培训']",2020-09-04 08:22:47,北京,朝阳区,,20k-40k,3-5年,全职,本科,公司福利好
