name,company,company_size,field,workarea,background,education,low_salary,high_salary
电话客服,北京中味国际展览有限公司,少于15人,其他,北京,不限,不限,2,4
销售助理,陕西千秋电子科技股份有限公司,150-500人,"电商,医疗丨健康",合肥,不限,不限,5,10
设计师,工匠广告传播（上海）有限公司,50-150人,"移动互联网,广告营销",上海,1-3年,本科,10,20
销售经理（AI交互产品）,深思考人工智能机器人科技（北京）有限公司,50-150人,"移动互联网,企业服务",北京,3-5年,本科,10,20
招聘专员,湖北浮泽数据科技有限公司,50-150人,"数据服务,软件开发",杭州,不限,大专,4,8
大数据开发工程师（DBA/数仓建设）,深圳市君仁科技发展有限公司,50-150人,移动互联网,深圳,1-3年,本科,18,22
高级java开发工程师,尼尔林技术咨询（深圳）有限公司,150-500人,"移动互联网,电商",深圳,5-10年,本科,20,35
管培生,泰康人寿保险有限责任公司山东分公司,2000人以上,金融,济南,不限,大专,4,8
开发,上海扩博智能技术有限公司,50-150人,"移动互联网,数据服务",上海,1-3年,本科,15,25
自动化测试工程师,北京聚量广告传媒有限公司,50-150人,"移动互联网,广告营销",北京,3-5年,本科,20,30
高级产品经理,深圳市润安科技发展有限公司,150-500人,"移动互联网,其他",深圳,5-10年,本科,15,25
测试工程师,广州富力地产股份有限公司,2000人以上,"移动互联网,电商",广州,3-5年,本科,15,30
房产销售,广州信华房地产代理有限公司,150-500人,房产家居,广州,不限,不限,8,12
中级前端开发工程师,广州华资软件技术有限公司,500-2000人,"移动互联网,数据服务",广州,3-5年,本科,9,15
团队运营主管,中美联泰大都会人寿保险有限公司四川分公司,2000人以上,金融,北京,3-5年,本科,20,40
PHP开发工程师,广州市米石信息科技有限公司,15-50人,移动互联网,广州,3-5年,本科,10,15
golang开发工程师,北京聚量广告传媒有限公司,50-150人,"移动互联网,广告营销",北京,3-5年,本科,15,25
电商主播,湖南点道文化传播有限公司,15-50人,文娱丨内容,长沙,不限,不限,5,8
平面设计师,广东杏配林科技有限公司,少于15人,教育,佛山,不限,不限,3,5
高级临床数据管理员,艾迪泰科科技（北京）有限公司,150-500人,其他,成都,1-3年,本科,8,15
软件开发工程师,信永中和会计师事务所（特殊普通合伙）,2000人以上,企业服务,北京,1-3年,本科,8,15
诚聘网络销售代表,绵阳伊美妍网络科技有限公司,50-150人,电商,绵阳,不限,不限,5,10
行政专员,长沙市你的家服信息技术有限公司,50-150人,消费生活,武汉,不限,大专,3,5
客服专员,北京圣光辰星医院管理有限公司医养堂中医诊所,150-500人,医疗丨健康,北京,不限,不限,3,5
